id,name,address,governorate,latitude,longitude
1249,Pharmacie Lassoued,"Avenue Habib Thameur, Bir El Ghoul, Neapolis",Nabeul,36.4503161,10.7246939
1251,Pharmacie Les Jasmins,"116 RR28, Neapolis",Nabeul,36.4447472,10.7154408
1300,Pharmacie Mami Koubakji,"Avenue Habib Bourguiba, Hammamet",Nabeul,36.4009759,10.6116451
1086,Pharmacie Menchya,"Avenue Habib Bourguiba, Béni Khiar",Nabeul,36.4724149,10.7845204
1474,Pharmacie Mlika,شارع الحبيب بورقيبة,Nabeul,36.4641256,10.7476752
1182,Pharmacie Mokhtar Salah,"Avenue des Nations Unies, Hammamet Nord",Nabeul,36.4070297,10.6103478
1206,Pharmacie Mouna Miled Boughzela,"Avenue Habib Bourguiba, Médina, El Asouak",Nabeul,36.4528344,10.734853
1255,Pharmacie Mrezka,"RR28, El Mrezga",Nabeul,36.4275002,10.673971
1295,Pharmacie Naâss,"Route Nationale Tunis - Ras Jedir, Jinene Hammamet, Manaret El Hammamet",Nabeul,36.4067579,10.5611401
1575,Pharmacie Naoufel ben salah,قربة,Nabeul,36.571769,10.8581143
1191,Pharmacie Nouha El Korbi EP Saihi,"Avenue Bahi Ladgham, Hammamet Nord",Nabeul,36.4085836,10.6100182
1310,Pharmacie OUN HAYTHAM,"RR43, Menzel Bou Zelfa, Menzel Bouzelfa Sud",Nabeul,36.6840246,10.5783279
1088,Pharmacie Phytotherapie,"Avenue Habib Bourguiba, Béni Khiar",Nabeul,36.468268,10.7792954
1089,Pharmacie Principale,"Avenue Habib Bourguiba, Béni Khiar",Nabeul,36.4702494,10.7821294
1298,Pharmacie Raies,شارع التحرير,Nabeul,36.4019693,10.6211906
1471,Pharmacie Rchid Aissa,"Avenue Habib Bourguiba, Dar Chaâbane El Fehri",Nabeul,36.4658938,10.7487514
1259,Pharmacie Rguig,"Avenue Habib Bourguiba, Médina, El Asouak",Nabeul,36.4564878,10.7319469
1472,Pharmacie Rouis Barka Monia,شارع الحبيب بورقيبة,Nabeul,36.4617963,10.7475298
1262,Pharmacie Rym Abderrazek,"Rue El Khawarizmi, La Jarre, Nabeul",Nabeul,36.4522031,10.7420543
1263,Pharmacie Sabeur Karma,"Avenue Ali Belhouane, La Jarre, Nabeul",Nabeul,36.4539875,10.7424242
1304,Pharmacie Sahmim,"Route de Tunis, Menzel Temime",Nabeul,36.7805162,10.9864383
1296,Pharmacie Selima Souissi,"Avenue Mohamed V, Jinene Hammamet, Manaret El Hammamet",Nabeul,36.4050121,10.5616287
1270,Pharmacie Slaheddine Bouslama,"Avenue d'Abou Dhabi, Hammamet Nord",Nabeul,36.407489,10.6375441
1303,Pharmacie Zouaoui,"Boulevard de l'Environnement, Béni Khiar",Nabeul,36.4641574,10.7836369
1299,TOPARAPHARM,"Avenue de la Libération, Hammamet",Nabeul,36.4024285,10.6247636
1238,صيدلية الانقليز,"RR27, Dar Allouch, Dar Allouch",Nabeul,36.9720888,11.0488791
1183,صيدلية الليل,"Avenue des Nations Unies, Hammamet Nord",Nabeul,36.4073427,10.6103398
1253,صيدلية الليل,"Avenue Habib Thameur, Quartier de la gare, Neapolis",Nabeul,36.4522159,10.730716
1197,صيدلية الليل,"شارع الدكتور إبراهيم الغربي, Kelibia",Nabeul,36.8470209,11.0914502
1294,صيدلية الليل,"Route Nationale Tunis - Ras Jedir, Manaret El Hammamet",Nabeul,36.3633967,10.5324129
1312,صيدلية الليل,"RR27, Tazarka",Nabeul,36.5456598,10.8370604
1275,صيدلية الليل,"Avenue de la République, Hammamet",Nabeul,36.3994935,10.6178043
1305,صيدلية الليل,"Abdelkader Zhioua, Menzel Temime",Nabeul,36.7806648,10.9880487
1155,صيدلية بن حديد,شارع ابن خلدون,Nabeul,36.8474258,11.090643
1237,صيدلية بن رجب,شارع علي بلهوان,Nabeul,36.8511828,11.0910236
1199,صيدلية بن ناصر,"Rue Ibn El Jazzar, Kelibia",Nabeul,36.8535894,11.0924975
1157,صيدلية بوفايد,شارع الحبيب بورقيبة,Nabeul,36.8462363,11.0871805
1233,صيدلية جياوي حرم قارة,"RR27, سيدي عاشور, Bir Challouf",Nabeul,36.4589017,10.7280679
1226,صيدلية سيالة,شارع الهادي والي,Nabeul,36.4062301,10.6182856
1198,صيدلية مكرم المجيد,"Rue El Mounadhel Daoued El Arbi El Miladi, El Haouaria, El Haouaira Nord",Nabeul,37.0478891,11.0123645
1556,AZ Parapharmacie,"Avenue Hédi Chaker, Merkez El Hattab, Sakiet Eddaïer",Sfax,34.8016654,10.7842719
